timestamp_sec,cmd,bg,bk,row,col
4.88058562e-04,pre_pb,110,11,,
4.88074402e-04,act,110,11,1111000010010010,
4.88091042e-04,rd,110,11,,001000100
4.88134242e-04,pre_pb,110,11,,
4.88171842e-04,act,110,11,1111000010001001,
4.88188482e-04,rd,110,11,,010000100
4.88212802e-04,pre_pb,110,11,,
4.88228642e-04,act,110,11,1111000010010010,
4.88245362e-04,rd,110,11,,001000100
4.88288642e-04,pre_pb,110,11,,
4.88326322e-04,act,110,11,1111000010001001,
4.88342882e-04,rd,110,11,,010000100
4.88367122e-04,pre_pb,110,11,,
4.88383122e-04,act,110,11,1111000010010010,
4.88399842e-04,rd,110,11,,001000100
4.88443122e-04,pre_pb,110,11,,
4.88480562e-04,act,110,11,1111000010001001,
4.88497362e-04,rd,110,11,,010000100
4.88519922e-04,pre_pb,110,11,,
4.88535762e-04,act,110,11,1111000010010010,
4.88552402e-04,rd,110,11,,001000100
4.88595842e-04,pre_pb,110,11,,
4.88633362e-04,act,110,11,1111000010001001,
4.88650002e-04,rd,110,11,,010000100
4.88673362e-04,pre_pb,110,11,,
4.88689282e-04,act,110,11,1111000010010010,
4.88706002e-04,rd,110,11,,001000100
4.88727762e-04,pre_sb,,11,,
4.88746082e-04,ref_sb,,11,,
4.88881122e-04,act,110,11,1111000010001001,
4.88897842e-04,rd,110,11,,010000100
4.88914482e-04,pre_pb,110,11,,
4.88930402e-04,act,110,11,1111000010010010,
4.88947122e-04,rd,110,11,,001000100
4.88977202e-04,pre_pb,110,11,,
4.89029762e-04,act,110,11,1111000010001001,
4.89046482e-04,rd,110,11,,010000100
4.89068082e-04,pre_pb,110,11,,
4.89083922e-04,act,110,11,1111000010010010,
4.89100722e-04,rd,110,11,,001000100
4.89130882e-04,pre_pb,110,11,,
4.89181762e-04,act,110,11,1111000010001001,
4.89198482e-04,rd,110,11,,010000100
4.89220962e-04,pre_pb,110,11,,
4.89236722e-04,act,110,11,1111000010010010,
4.89253362e-04,rd,110,11,,001000100
4.89283522e-04,pre_pb,110,11,,
4.89334482e-04,act,110,11,1111000010001001,
4.89351122e-04,rd,110,11,,010000100
4.89377762e-04,pre_pb,110,11,,
4.89393682e-04,act,110,11,1111000010010010,
4.89410402e-04,rd,110,11,,001000100
4.89440562e-04,pre_pb,110,11,,
4.89492242e-04,act,110,11,1111000010001001,
4.89508962e-04,rd,110,11,,010000100
4.89531522e-04,pre_pb,110,11,,
4.89547362e-04,act,110,11,1111000010010010,
4.89564002e-04,rd,110,11,,001000100
4.89594082e-04,pre_pb,110,11,,
4.89644882e-04,act,110,11,1111000010001001,
4.89661602e-04,rd,110,11,,010000100
4.89684082e-04,pre_pb,110,11,,
4.89700002e-04,act,110,11,1111000010010010,
4.89716722e-04,rd,110,11,,001000100
4.89746802e-04,pre_pb,110,11,,
4.89797762e-04,act,110,11,1111000010001001,
4.89814402e-04,rd,110,11,,010000100
4.89836962e-04,pre_pb,110,11,,
4.89852882e-04,act,110,11,1111000010010010,
4.89869522e-04,rd,110,11,,001000100
4.89899682e-04,pre_pb,110,11,,
4.89950482e-04,act,110,11,1111000010001001,
4.89967202e-04,rd,110,11,,010000100
4.89990642e-04,pre_pb,110,11,,
4.90006482e-04,act,110,11,1111000010010010,
4.90023202e-04,rd,110,11,,001000100
4.90053282e-04,pre_pb,110,11,,
